Phylum,Abundance,Treatment,Time,Treatment_Time
Acidobacteria,1083,Control,0,Control_0
Acidobacteria,1464,Control,1,Control_1
Acidobacteria,937,Control,2,Control_2
Acidobacteria,871,Control,3,Control_3
Acidobacteria,992,Control,4,Control_4
Acidobacteria,904,Control,5,Control_5
Acidobacteria,986,Control,6,Control_6
Acidobacteria,1403,Compost,0,Compost_0
Acidobacteria,1406,Compost,1,Compost_1
Acidobacteria,1290,Compost,2,Compost_2
Acidobacteria,1186,Compost,3,Compost_3
Acidobacteria,916,Compost,4,Compost_4
Acidobacteria,925,Compost,5,Compost_5
Acidobacteria,1142,Compost,6,Compost_6
Acidobacteria,1313,Urea,0,Urea_0
Acidobacteria,1213,Urea,1,Urea_1
Acidobacteria,902,Urea,2,Urea_2
Acidobacteria,1113,Urea,3,Urea_3
Acidobacteria,892,Urea,4,Urea_4
Acidobacteria,775,Urea,5,Urea_5
Acidobacteria,1022,Urea,6,Urea_6
Actinobacteria,3375,Control,0,Control_0
Actinobacteria,2501,Control,1,Control_1
Actinobacteria,2195,Control,2,Control_2
Actinobacteria,1865,Control,3,Control_3
Actinobacteria,1561,Control,4,Control_4
Actinobacteria,1799,Control,5,Control_5
Actinobacteria,1523,Control,6,Control_6
Actinobacteria,2349,Compost,0,Compost_0
Actinobacteria,1770,Compost,1,Compost_1
Actinobacteria,1327,Compost,2,Compost_2
Actinobacteria,1662,Compost,3,Compost_3
Actinobacteria,1702,Compost,4,Compost_4
Actinobacteria,1245,Compost,5,Compost_5
Actinobacteria,1293,Compost,6,Compost_6
Actinobacteria,3030,Urea,0,Urea_0
Actinobacteria,2353,Urea,1,Urea_1
Actinobacteria,1804,Urea,2,Urea_2
Actinobacteria,1878,Urea,3,Urea_3
Actinobacteria,1602,Urea,4,Urea_4
Actinobacteria,1766,Urea,5,Urea_5
Actinobacteria,1278,Urea,6,Urea_6
Armatimonadetes,30,Control,0,Control_0
Armatimonadetes,46,Control,1,Control_1
Armatimonadetes,56,Control,2,Control_2
