Treatment,Control_0,Compost_0,Urea_0,Control_1,Compost_1,Urea_1,Control_2,Compost_2,Urea_2,Control_3,Compost_3,Urea_3,Control_4,Compost_4,Urea_4,Control_5,Compost_5,Urea_5,Control_6,Compost_6,Urea_6
Acidobacteria,1083,1403,1313,1464,1406,1213,937,1290,902,871,1186,1113,992,916,892,904,925,775,986,1142,1022
Actinobacteria,3375,2349,3030,2501,1770,2353,2195,1327,1804,1865,1662,1878,1561,1702,1602,1799,1245,1766,1523,1293,1278
Armatimonadetes,30,19,37,46,42,49,56,61,108,79,44,57,56,64,59,78,40,53,90,85,89
Bacteroidetes,183,261,127,172,293,282,367,389,379,382,297,402,391,439,491,290,360,376,426,418,497
Chlamydiae,0,1,0,1,2,5,3,1,1,9,4,12,12,1,11,16,17,9,4,5,13
Chlorobi,0,0,2,13,10,4,5,10,11,4,8,5,8,15,19,1,12,10,19,7,10
Chloroflexi,410,321,347,279,311,309,423,362,304,389,358,308,430,428,455,392,443,422,519,490,580
Cyanobacteria,15,10,10,63,60,35,151,122,788,695,161,264,636,581,626,254,568,437,559,432,734
Elusimicrobia,7,4,0,7,7,9,7,12,6,18,6,14,13,13,12,25,22,17,16,19,10
Firmicutes,119,348,140,127,104,77,98,72,44,98,82,46,65,106,59,20,26,31,27,60,44
Gemmatimonadetes,184,185,290,366,338,302,296,264,361,267,474,304,241,252,294,360,314,294,300,316,276
Nitrospirae,84,138,156,227,159,275,205,133,146,152,111,205,136,191,167,168,187,190,229,180,187
Planctomycetes,219,314,268,302,420,317,386,370,285,403,368,393,342,384,379,431,388,437,425,460,417
Proteobacteria,2453,2778,2420,2517,3080,2748,2848,3632,2829,2798,3230,3018,3108,2922,3032,3194,3492,3128,2798,3037,2884
Verrucomicrobia,33,69,57,115,174,113,139,187,243,165,202,129,181,133,123,146,208,173,182,206,157
Other Bacteria,130,147,124,107,137,140,130,138,99,158,140,172,159,176,146,206,129,174,201,192,162
Crenarchaeota (Archaea),162,117,157,170,152,234,217,99,167,120,140,143,141,144,105,194,92,167,133,110,113
