"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","confidence","Degree","Eccentricity","IsSingleNode","kingdom","name","NeighborhoodConnectivity","Node_Status","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","taxonomy","TopologicalCoefficient"
"843","4.92307692","0.00490611","0.203125","0.0","0.986725308","2","8","false","Fungi","867958af74e1b97140239db253933082","5.5","Clustered","2","0",,,"0","0.60769231","false","0","867958af74e1b97140239db253933082","698","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__Podospora_communis","0.5"
"858","4.83805668","0.02121544","0.20669456","0.0","0.998899328","4","8","false","Fungi","b68738727f7a1c9e241b1534268b0546","3.75","Clustered","4","0",,,"0","0.61619433","false","0","b68738727f7a1c9e241b1534268b0546","2568","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Gaeumannomyces;s__Gaeumannomyces_radicicola","0.25"
"1010","4.74898785","0.01799645","0.21057118","0.0","0.713282618","4","8","false","Fungi","f990870b864b27cf6cec54d6aa827d28","3.75","Clustered","4","0",,,"0","0.62510121","false","0","f990870b864b27cf6cec54d6aa827d28","2140","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified;s__unidentified","0.275"
"846","4.51012146","0.03344367","0.22172352","0.0","0.995523305","5","8","false","Fungi","db6aee4b36483b160142ec74960d8097","3.8","Clustered","5","0",,,"0","0.64898785","false","0","db6aee4b36483b160142ec74960d8097","4256","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__Clonostachys_rosea","0.21538462"
"839","4.67206478","0.017798","0.21403813","0.0","0.769122758","3","7","false","Fungi","681a82b982b358ecdc302505cccec913","4.66666667","Clustered","3","0",,,"0","0.63279352","false","0","681a82b982b358ecdc302505cccec913","2186","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales","0.33333333"
"862","5.03643725","0.01062748","0.19855305","0.0","0.995928214","3","9","false","Fungi","a2cf9d28b18aa6955381524a2294b5fe","4.0","Clustered","3","0",,,"0","0.59635628","false","0","a2cf9d28b18aa6955381524a2294b5fe","1382","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_podocarpi","0.375"
"1011","5.18623482","0.00730379","0.19281811","0.0","0.952525327","3","9","false","Fungi","36f2d425153c065d26c7fdee73f30a76","3.66666667","Clustered","3","0",,,"0","0.58137652","false","0","36f2d425153c065d26c7fdee73f30a76","1140","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__unidentified;s__unidentified","0.38095238"
"1012","5.57489879","0.00309616","0.17937545","0.0","0.902977011","2","9","false","Fungi","f662e396607aff4078219f0b2aed771b","3.0","Clustered","2","0",,,"0","0.54251012","false","0","f662e396607aff4078219f0b2aed771b","418","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Scytalidium;s__Scytalidium_sphaerosporum","0.5"
"871","4.70040486","0.01938236","0.21274763","0.0","0.999773728","3","7","false","Fungi","0961cf8f1b5074801797358681641f3c","5.33333333","Clustered","3","0",,,"0","0.62995951","false","0","0961cf8f1b5074801797358681641f3c","2140","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_aerugineum","0.33333333"
"994","5.55465587","0.00603425","0.18002915","0.0","0.999670017","3","9","false","Fungi","83c94f7a380d7a207168276c747c1d0a","2.66666667","Clustered","3","0",,,"0","0.54453441","false","0","83c94f7a380d7a207168276c747c1d0a","774","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium","0.33333333"
"873","5.01619433","0.00652226","0.19935432","0.0","0.999997568","2","8","false","Fungi","543b833aaa09b3601f28df12a82983f2","4.5","Clustered","2","0",,,"0","0.59838057","false","0","543b833aaa09b3601f28df12a82983f2","704","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora;s__Nigrospora_oryzae","0.5"
"848","4.6437247","0.02350402","0.21534438","0.0","0.836736365","4","8","false","Fungi","6ff0eb6e718a91ebbe3e3ece1bfd6443","4.25","Clustered","4","0",,,"0","0.63562753","false","0","6ff0eb6e718a91ebbe3e3ece1bfd6443","3032","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified;s__unidentified","0.27083333"
"875","5.25101215","0.01000194","0.19043948","0.0","0.744379138","3","8","false","Fungi","0c9e5da9ceb207b3591d850c77ec895d","3.0","Clustered","3","0",,,"0","0.57489879","false","0","0c9e5da9ceb207b3591d850c77ec895d","1174","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Geastrum;s__unidentified","0.33333333"
"876","5.15384615","0.01351224","0.19402985","0.0","0.957313296","3","8","false","Fungi","c43865450fb33105291dd33c39621029","3.66666667","Clustered","3","0",,,"0","0.58461538","false","0","c43865450fb33105291dd33c39621029","1512","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae","0.33333333"
"1013","4.8340081","0.00672987","0.20686767","0.0","0.998617059","2","7","false","Fungi","d1d017787bec14594dfad51ff70f9ba5","5.0","Clustered","2","0",,,"0","0.61659919","false","0","d1d017787bec14594dfad51ff70f9ba5","1006","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae","0.5"
"1014","5.60728745","0.0","0.17833935","1.0","0.742873866","2","9","false","Fungi","63632624d98a1ce91ff2ec0367e71f1d","4.5","Clustered","2","0",,,"0","0.53927126","false","0","63632624d98a1ce91ff2ec0367e71f1d","0","k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium;s__Olpidium_brassicae","0.64285714"
"995","5.4048583","0.00981073","0.18501873","0.0","0.999981853","3","8","false","Fungi","f7fd2983a336758f5f8372ed9c451dbc","3.0","Clustered","3","0",,,"0","0.55951417","false","0","f7fd2983a336758f5f8372ed9c451dbc","1082","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Myceliophthora;s__unidentified","0.33333333"
"1015","5.46153846","0.00635349","0.18309859","0.0","0.993899176","2","9","false","Fungi","071fd6b9abc5e77e5c3f1bb207a75f43","4.0","Clustered","2","0",,,"0","0.55384615","false","0","071fd6b9abc5e77e5c3f1bb207a75f43","762","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma;s__Ganoderma_australe","0.5"
"148","4.54251012","0.0077389","0.2201426","0.16666667","0.999972908","4","7","false","Bacteria","9ae115d0efcc5973d6042e4e34ce14f9","4.75","Clustered","4","0",,,"0","0.64574899","false","0","9ae115d0efcc5973d6042e4e34ce14f9","1172","k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae","0.32692308"
"870","4.93117409","0.02456517","0.20279146","0.1","0.978854759","5","8","false","Fungi","3ee4c94dca2e32a3ae43fb9d796c4ffe","3.0","Clustered","5","0",,,"0","0.60688259","false","0","3ee4c94dca2e32a3ae43fb9d796c4ffe","2542","k__Fungi","0.24"
"72","5.048583","0.00104062","0.19807538","0.0","0.999967015","2","8","false","Bacteria","f17746f79f09b97c4a63ff17ce0677be","4.5","Clustered","2","0",,,"0","0.5951417","false","0","f17746f79f09b97c4a63ff17ce0677be","170","k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae","0.5"
