SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,confidence,Degree,Eccentricity,IsSingleNode,kingdom,name,NeighborhoodConnectivity,Node_Status,NumberOfDirectedEdges,NumberOfUndirectedEdges,NumChildren,NumDescendents,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,taxonomy,TopologicalCoefficient
847,6.15789474,0,0.16239316,0,0.970987006,1,10,FALSE,Fungi,ea1fdba2b396b648eba6d54c0131d42f,4,Clustered,1,0,,,0,0.53110048,FALSE,0,ea1fdba2b396b648eba6d54c0131d42f,0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Microdochiaceae;g__Idriella;s__Idriella_lunata,0
955,6.37280702,0,0.15691672,0,0.990680875,1,10,FALSE,Fungi,1a491be0ce405766c6e502edf1c326ad,3,Clustered,1,0,,,0,0.511563,FALSE,0,1a491be0ce405766c6e502edf1c326ad,0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales,0
956,5.37719298,0.01563742,0.18597064,0,0.983723721,3,9,FALSE,Fungi,257017ae5c0a050942341c93b36a1038,2.66666667,Clustered,3,0,,,0,0.60207337,FALSE,0,257017ae5c0a050942341c93b36a1038,1370,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium;s__Tetracladium_furcatum,0.33333333
1472,5.12280702,0.0049133,0.19520548,0,0.999995713,2,8,FALSE,Fungi,2a3c30645555faae23cc86e0ec21234a,4,,2,0,,,0,0.62519936,FALSE,0,2a3c30645555faae23cc86e0ec21234a,486,k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_restricta,0.5
1025,5.35964912,0,0.18657938,0,0.999977189,1,9,FALSE,Fungi,2b474c4730aa7f65f673ffd6a53befb5,7,Clustered,1,0,,,0,0.60366826,FALSE,0,2b474c4730aa7f65f673ffd6a53befb5,0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_fam_Incertae_sedis;g__Staphylotrichum;s__Staphylotrichum_coccosporum,0
846,4.92982456,0.03107549,0.20284698,0,0.995523305,4,8,FALSE,Fungi,db6aee4b36483b160142ec74960d8097,3,Clustered,4,0,,,0,0.64274322,FALSE,0,db6aee4b36483b160142ec74960d8097,2522,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__Clonostachys_rosea,0.25
925,5.9254386,0,0.16876388,0,0.996394097,1,9,FALSE,Fungi,fc5f0d33f5d16dada8945615c54220b9,4,Clustered,1,0,,,0,0.55223285,FALSE,0,fc5f0d33f5d16dada8945615c54220b9,0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae,0
1020,4.28070175,0.02947208,0.23360656,0,0.99671204,4,7,FALSE,Fungi,8b5e02e9cfe8c8adc32806a4fba2125b,4,Clustered,4,0,,,0,0.70175439,FALSE,0,8b5e02e9cfe8c8adc32806a4fba2125b,3188,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__unidentified;s__unidentified,0.25
874,5.1754386,0.01558702,0.19322034,0,0.778524583,2,9,FALSE,Fungi,883303246001af6a4d701ba1c7b4abf3,5.5,Clustered,2,0,,,0,0.62041467,FALSE,0,883303246001af6a4d701ba1c7b4abf3,1482,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Coniophoraceae;g__Coniophora,0.5
849,4.69298246,0.01666514,0.21308411,0,0.996566285,3,8,FALSE,Fungi,5143a16f7304a67659163b53236ae755,5,Clustered,3,0,,,0,0.66427432,FALSE,0,5143a16f7304a67659163b53236ae755,1618,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_alpina,0.33333333
