SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,confidence,Degree,Eccentricity,IsSingleNode,kingdom,name,NeighborhoodConnectivity,Node_Status,NumberOfDirectedEdges,Radiality,selected,SelfLoops,shared name,Stress,taxonomy,TopologicalCoefficient
869,4.53157895,0.0591102,0.22067364,0.04761905,0.798804425,7,8,FALSE,Fungi,dffa3aa867273816713072bf41a4d99e,3.57142857,Clustered,7,0.70570175,FALSE,0,dffa3aa867273816713072bf41a4d99e,4492,k__Fungi;p__Ascomycota,0.17857143
870,4.28421053,0.09018385,0.23341523,0.04761905,0.978854759,7,8,FALSE,Fungi,3ee4c94dca2e32a3ae43fb9d796c4ffe,3,Clustered,7,0.72631579,FALSE,0,3ee4c94dca2e32a3ae43fb9d796c4ffe,6032,k__Fungi,0.16326531
994,4.44210526,0.05046202,0.22511848,0.13333333,0.999670017,6,8,FALSE,Fungi,83c94f7a380d7a207168276c747c1d0a,4.5,Clustered,6,0.71315789,FALSE,0,83c94f7a380d7a207168276c747c1d0a,4300,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium,0.22222222
838,4.61052632,0.04467799,0.21689498,0.13333333,0.981554151,6,8,FALSE,Fungi,b2161ed6398e721bd35c10f0b7b32497,4.5,Clustered,6,0.69912281,FALSE,0,b2161ed6398e721bd35c10f0b7b32497,3016,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_tamarii,0.21052632
840,4.38421053,0.1020825,0.22809124,0.06666667,0.999888705,6,8,FALSE,Fungi,d71d604bffdf1a8e01171eed3dc9609c,3.66666667,Clustered,6,0.71798246,FALSE,0,d71d604bffdf1a8e01171eed3dc9609c,6452,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_sp,0.1875
150,4.08947368,0.1075673,0.24453024,0,0.994825855,6,7,FALSE,Bacteria,e0fb2ba73f3950427afa72947668c71e,4.83333333,Clustered,6,0.74254386,FALSE,0,e0fb2ba73f3950427afa72947668c71e,6914,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__,0.18253968
867,4.32105263,0.07675211,0.23142509,0.06666667,0.839412452,6,8,FALSE,Fungi,4a583adb7f73aee01cef4bf8cb6f153b,4.16666667,Clustered,6,0.72324561,FALSE,0,4a583adb7f73aee01cef4bf8cb6f153b,5220,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora;s__unidentified,0.20588235
464,4.63684211,0.03962804,0.21566402,0.2,0.999778316,6,8,FALSE,Bacteria,453b793910e9449da208ccfc1dd969ff,3.83333333,,6,0.69692982,FALSE,0,453b793910e9449da208ccfc1dd969ff,2996,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__; s__,0.25
846,4.71052632,0.07447165,0.2122905,0,0.995523305,6,8,FALSE,Fungi,db6aee4b36483b160142ec74960d8097,3.16666667,Clustered,6,0.69078947,FALSE,0,db6aee4b36483b160142ec74960d8097,4736,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__Clonostachys_rosea,0.18055556
849,4.53157895,0.02966113,0.22067364,0.2,0.996566285,5,8,FALSE,Fungi,5143a16f7304a67659163b53236ae755,5,Clustered,5,0.70570175,FALSE,0,5143a16f7304a67659163b53236ae755,2590,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_alpina,0.28235294
